"","subno","loss","gain","response","condition","resp"
"1","1",5,10,"waccept","40.20",1
"2","1",5,12,"waccept","40.20",1
"3","1",5,14,"wreject","40.20",0
"4","1",5,16,"waccept","40.20",1
"5","1",5,18,"sreject","40.20",0
"6","1",5,20,"sreject","40.20",0
"7","1",5,22,"waccept","40.20",1
"8","1",5,24,"sreject","40.20",0
"9","1",5,26,"waccept","40.20",1
"10","1",5,28,"wreject","40.20",0
"11","1",5,30,"wreject","40.20",0
"12","1",5,32,"waccept","40.20",1
"13","1",5,34,"sreject","40.20",0
"14","1",5,36,"sreject","40.20",0
"15","1",5,38,"sreject","40.20",0
"16","1",5,40,"wreject","40.20",0
"17","1",6,10,"waccept","40.20",1
"18","1",6,12,"waccept","40.20",1
"19","1",6,14,"sreject","40.20",0
"20","1",6,16,"wreject","40.20",0
"21","1",6,18,"waccept","40.20",1
"22","1",6,20,"sreject","40.20",0
"23","1",6,22,"waccept","40.20",1
"24","1",6,24,"waccept","40.20",1
"25","1",6,26,"sreject","40.20",0
"26","1",6,28,"waccept","40.20",1
"27","1",6,30,"sreject","40.20",0
"28","1",6,32,"wreject","40.20",0
"29","1",6,34,"wreject","40.20",0
"30","1",6,36,"sreject","40.20",0
"31","1",6,38,"waccept","40.20",1
"32","1",6,40,"sreject","40.20",0
"33","1",7,10,"wreject","40.20",0
"34","1",7,12,"wreject","40.20",0
"35","1",7,14,"wreject","40.20",0
"36","1",7,16,"sreject","40.20",0
"37","1",7,18,"sreject","40.20",0
"38","1",7,20,"sreject","40.20",0
"39","1",7,22,"sreject","40.20",0
"40","1",7,24,"sreject","40.20",0
"41","1",7,26,"wreject","40.20",0
"42","1",7,28,"wreject","40.20",0
"43","1",7,30,"sreject","40.20",0
"44","1",7,32,"waccept","40.20",1
"45","1",7,34,"wreject","40.20",0
"46","1",7,36,"wreject","40.20",0
"47","1",7,38,"waccept","40.20",1
"48","1",7,40,"sreject","40.20",0
"49","1",8,10,"waccept","40.20",1
"50","1",8,12,"sreject","40.20",0
"51","1",8,14,"wreject","40.20",0
"52","1",8,16,"sreject","40.20",0
"53","1",8,18,"wreject","40.20",0
"54","1",8,20,"sreject","40.20",0
"55","1",8,22,"sreject","40.20",0
"56","1",8,24,"waccept","40.20",1
"57","1",8,26,"waccept","40.20",1
"58","1",8,28,"sreject","40.20",0
"59","1",8,30,"sreject","40.20",0
"60","1",8,32,"sreject","40.20",0
"61","1",8,34,"sreject","40.20",0
"62","1",8,36,"wreject","40.20",0
"63","1",8,38,"waccept","40.20",1
"64","1",8,40,"sreject","40.20",0
"65","1",9,10,"waccept","40.20",1
"66","1",9,12,"wreject","40.20",0
"67","1",9,14,"sreject","40.20",0
"68","1",9,16,"sreject","40.20",0
"69","1",9,18,"wreject","40.20",0
